"vin";"doors";"type"
"1G3GZ62C6T4104011";4;"mid-size"
"1GC4KXCG9ZF124367";2;"sports"
"1GC4ZLCG4DF124367";2;"sports"
"1GCEK19B66E110242";4;"mid-size"
"1GCEK19Z66E110242";4;"mid-size"
"1GCEZ19B66E110242";2;"convertible"
"1GCGC24U3J2120667";3;"minivan"
"1GKEL19W3XB501087";3;"minivan"
"1GKFK66U45J128796";4;"mid-size"
"1GKFK6ZU45J128796";4;"mid-size"
"1GKFZ66U45J128796";4;"mid-size"
"2G2FV22P7S2217425";3;"minivan"
"2G61W5S80D9169778";2;"sports"
"2G61WZS80DZ169778";2;"sports"
"2HGEJ6670YH550478";4;"mid-size"
"2HGEJZ670YH550478";4;"mid-size"
"2HGEZ6670YH550478";4;"mid-size"
"2HKRM3H73FH508754";3;"minivan"
"2HKYF18686H539159";4;"mid-size"
"2HKYF18Z86H539159";4;"mid-size"
"3N1AB7A9ZGY305402";2;"sports"
"3N1AB7APXGY305402";2;"sports"
"3VW4T7AJ9FM393284";4;"mid-size"
"3VW517AT1FM576058";3;"minivan"
"3VW517AZ6FM611062";4;"mid-size"
"3VW517ZT6FM611062";4;"mid-size"
"3VW5DAATXFM060205";4;"mid-size"
"3VW5ZAATXFM060205";2;"convertible"
"3VWZDAATXFM060205";4;"mid-size"
"4T1BE32K95U402470";4;"mid-size"
"4T1BE3ZK95U402470";4;"mid-size"
"4T1BE46K17U062935";4;"mid-size"
"4T1BF1FK19Z029067";2;"sports"
"4T1BF1FK1FU029067";2;"sports"
"4T1BF1FK3GU130643";4;"mid-size"
"4T1BF1FK3GU13Z643";2;"convertible"
"4T1BF1FK3GU150107";3;"minivan"
"4T1BF1FZ3GU130643";4;"mid-size"
"5YFBARHE8EP001234";2;"sports"
"5YFBURHAZEP001234";4;"mid-size"
"5YFBURHE5EP00A23Z";4;"mid-size"
"5YFBURHE723AZ1Z34";2;"convertible"
"5YFBURHZ2EA001234";3;"minivan"
"5YFBURZE8EP001234";3;"minivan"
"5YFBUZHASZP001234";4;"mid-size"
"5YFBUZHE7ZA001234";4;"mid-size"
"AYFBURHE6ZPZ0Z234";4;"mid-size"
"JT2ST87H2N0041111";3;"minivan"
"JTMBFREV0HD001751";4;"mid-size"
"JTMBFREV0HD001Z51";2;"convertible"
"JTMBFREV0HD084891";4;"mid-size"
"JTMBFREZ0HD001751";4;"mid-size"
"JTNB11HK1J3052078";4;"mid-size"
"JTNB11HK9J3024087";3;"minivan"
"JTNB11HZ1J3052078";4;"mid-size"
"JTNB1ZHK1J3052078";4;"mid-size"
"KNADN5A36H6041798";3;"minivan"
"KND87ZA23H7907557";3;"minivan"
"KNDJNZA23H7907557";4;"mid-size"
"KNDMB2Z3046070890";2;"sports"
"KNDMBAS3046070890";2;"sports"
"KNHBU4A2XG5047401";4;"mid-size"
"KNHBU4AZXG5047401";4;"mid-size"
"KNHBU4AZXG5Z47401";4;"mid-size"
"KNHBU4Z2ZG5047401";2;"convertible"
"KZ9JN2A23Z7907557";4;"mid-size"
"KZDJN2A23HZ907557";4;"mid-size"
"ZT1BZ32KZ5U402470";4;"mid-size"
"ZYFBURHE6EP001234";4;"mid-size"
